Matchup,Open,Closing Range Start,Closing Range End,Movement,Event,Date
Jose Torres,-120.0,100.0,100.0,0.083,UFC 227: Dillashaw vs. Garbrandt 2,
Alex Perez,-120.0,-120.0,-120.0,,nan,Aug 4th 2018
Jose Torres,-265.0,-145.0,-137.0,0.1939999999999999,UFC Fight Night 131: Rivera vs. Moraes,
Jarred Brooks,185.0,117.0,125.0,,nan,Jun 1st 2018
Jose Torres,-530.0,-490.0,-490.0,0.013,Titan FC 46: Torres vs. DeJesus,
Gleidson Dejesus,350.0,355.0,355.0,,nan,Nov 17th 2017
Jose Torres,-185.0,-500.0,-475.0,-0.2789999999999999,Titan FC 44: Sharipov vs. Torres,
Farkhad Sharipov,145.0,375.0,400.0,,nan,May 19th 2017
Jose Torres,-165.0,-245.0,-245.0,-0.141,Titan FC 43: Torres vs. Nobre,
Pedro Nobre,125.0,175.0,175.0,,nan,Jan 21st 2017
Jose Torres,-140.0,144.0,155.0,0.314,Titan FC 40: Cavalcante vs. Assuncao,
Abdiel Velazquez,100.0,-175.0,-164.0,,nan,Aug 5th 2016
Jose Torres,,,,,Brave CF 49: Super Fights,
Jose Torres,,,,,Titan FC 38: Carl vs. Belal,
Reynaldo Duarte,,,,,nan,Apr 30th 2016
Jose Torres,,,,,Titan FC 37: Dos Santos vs. Simon,
Jorge Dominguez,,,,,nan,Mar 4th 2016
Ibo Aslan,-125.0,-167.0,-124.0,-0.037,UFC,
Anton Turkalj,105.0,104.0,122.0,,nan,Mar 31st 2024
Ibo Aslan,-163.0,-198.0,-167.0,-0.0409999999999999,Contender Series,
Paulo Renato Jr,120.0,120.0,164.0,,nan,Aug 16th 2023
David Roberts,,,,,Bellator Fighting Championship 110,
Patrick Schultz,,,,,nan,Feb 28th 2014
David Roberts,,,,,Shark Fights 21,
Tony Bonello,,,,,nan,Nov 11th 2011
David Roberts,,,,,HDNet Fights 1,
Chris Bowles,,,,,nan,Oct 13th 2007
Pedro Rizzo,450.0,650.0,650.0,0.267,M-1 Global: Fedor vs. Rizzo,
Fedor Emelianenko,-750.0,-1350.0,-1350.0,,nan,Jun 21st 2012
Pedro Rizzo,-125.0,130.0,130.0,0.217,Fight Force: Ultimate Chaos,
Gilbert Yvel,-105.0,-160.0,-160.0,,nan,Jun 27th 2009
Pedro Rizzo,320.0,335.0,335.0,0.034,Affliction 1: Banned,
Josh Barnett,-425.0,-375.0,-375.0,,nan,Jul 19th 2008
Pedro Rizzo,158.0,180.0,180.0,0.079,Art Of War 3: USA vs Brazil,
Jeff Monson,-190.0,-240.0,-240.0,,nan,Sep 1st 2007
Pedro Rizzo,,,,,Impact FC 2: The Uprising,
Ken Shamrock,,,,,nan,Jul 18th 2010
Pedro Rizzo,,,,,Bitetti Combat 5,
Valentijn Overeem,,,,,nan,Dec 12th 2009
Pedro Rizzo,,,,,Bitetti Combat 4,
Hector Sandoval,170.0,155.0,156.0,-0.055,UFC Fight Night 114: Pettis vs. Moreno,
Dustin Ortiz,-230.0,-181.0,-175.0,,nan,Aug 5th 2017
Hector Sandoval,-135.0,121.0,130.0,0.23,UFC Fight Night 108: Swanson vs. Lobov,
Matt Schnell,-105.0,-150.0,-141.0,,nan,Apr 22nd 2017
Hector Sandoval,130.0,-125.0,-120.0,-0.2689999999999999,UFC on FOX 22: VanZant vs. Waterson,
Fredy Serrano,-170.0,100.0,105.0,,nan,Dec 17th 2016
Hector Sandoval,235.0,300.0,310.0,0.173,UFC 201: Lawler vs. Woodley,
Wilson Reis,-315.0,-375.0,-360.0,,nan,Jul 30th 2016
Azamat Murzakanov,-200.0,-335.0,-225.0,-0.108,UFC,
Alonzo Menifield,165.0,175.0,250.0,,nan,Aug 3rd 2024
Azamat Murzakanov,-175.0,-200.0,-200.0,-0.048,UFC Fight Night,
Khalil Rountree Jr.,145.0,165.0,165.0,,nan,Dec 2nd 2023
Azamat Murzakanov,170.0,120.0,140.0,-0.159,UFC Fight Night: Holloway vs. Allen,
Dustin Jacoby,-200.0,-175.0,-140.0,,nan,Apr 15th 2023
Azamat Murzakanov,115.0,140.0,170.0,0.163,UFC Fight Night 222,
Azamat Murzakanov,-175.0,-165.0,-143.0,0.042,UFC Fight Night: Vera vs. Cruz,
Devin Clark,150.0,120.0,135.0,,nan,Aug 13th 2022
Tafon Nchukwi,-145.0,145.0,187.0,,nan,Mar 12th 2022
Azamat Murzakanov,-227.0,-200.0,-200.0,0.04,UFC Fight Night: Font vs. Aldo,
Jared Vanderaa,187.0,170.0,170.0,,nan,Dec 4th 2021
Philipe Lins,185.0,200.0,200.0,,nan,Dec 4th 2021
Azamat Murzakanov,-275.0,-650.0,-490.0,-0.16,DWCS Week 1,
Matheus Scheffel,220.0,350.0,475.0,,nan,Aug 31st 2021
Mauricio Rua,205.0,163.0,188.0,-0.121,UFC 283,
Ihor Potieria,-240.0,-225.0,-195.0,,nan,Jan 21st 2023
Mauricio Rua,140.0,200.0,215.0,0.218,UFC 274: Oliveira vs. Gaethje,
Ovince St. Preux,-160.0,-286.0,-240.0,,nan,May 7th 2022
Mauricio Rua,-110.0,163.0,175.0,0.29,UFC 255: Figueiredo vs. Perez,
Paul Craig,-110.0,-213.0,-188.0,,nan,Nov 21st 2020
Mauricio Rua,-300.0,-250.0,-200.0,0.077,UFC on ESPN 14: Whittaker vs. Till,
Antonio Rogerio Nogueira,250.0,170.0,210.0,,nan,Jul 25th 2020
Mauricio Rua,-215.0,-250.0,-210.0,-0.018,UFC on ESPN+ 22: Blachowicz vs. Jacare,
Mauricio Rua,160.0,400.0,420.0,0.492,UFC Fight Night 142: Dos Santos vs. Tuivasa,
Tyson Pedro,-210.0,-556.0,-525.0,,nan,Dec 1st 2018
Mauricio Rua,135.0,122.0,130.0,-0.04,UFC Fight Night 134: Shogun vs. Smith,
Anthony Smith,-175.0,-150.0,-142.0,,nan,Jul 22nd 2018
Mauricio Rua,-175.0,-159.0,-155.0,0.04,UFC Fight Night 106: Belfort vs. Gastelum,
Gian Villante,135.0,135.0,139.0,,nan,Mar 11th 2017
Mauricio Rua,145.0,135.0,140.0,-0.0289999999999999,UFC 198: Werdum vs. Miocic,
Corey Anderson,-185.0,-160.0,-155.0,,nan,May 14th 2016
Mauricio Rua,-190.0,-245.0,-230.0,-0.075,UFC 190: Rousey vs. Correia,
Mauricio Rua,-140.0,-160.0,-158.0,-0.052,UFC Fight Night 56: Shogun vs. St. Preux,
Mauricio Rua,-215.0,-165.0,-160.0,0.092,UFC Fight Night 38: Shogun vs. Henderson,
Dan Henderson,165.0,140.0,155.0,,nan,Mar 23rd 2014
Mauricio Rua,-160.0,110.0,125.0,0.255,UFC Fight Night 33: Hunt vs. Bigfoot,
James Te Huna,120.0,-140.0,-135.0,,nan,Dec 6th 2013
Mauricio Rua,-120.0,-160.0,-160.0,-0.128,UFC Fight Night 26: Shogun vs. Sonnen,
Chael Sonnen,-120.0,130.0,150.0,,nan,Aug 17th 2013
Mauricio Rua,100.0,230.0,240.0,0.4029999999999999,UFC on FOX 5: Henderson vs. Diaz,
Alexander Gustafsson,-140.0,-280.0,-275.0,,nan,Dec 8th 2012
Mauricio Rua,-280.0,-400.0,-380.0,-0.08,UFC on FOX 4: Shogun vs. Vera,
Brandon Vera,200.0,320.0,355.0,,nan,Aug 4th 2012
Mauricio Rua,-120.0,-153.0,-153.0,-0.109,UFC 139: Shogun vs. Henderson,
Mauricio Rua,-195.0,-210.0,-210.0,-0.025,UFC 134: Silva vs. Okami,
Forrest Griffin,160.0,190.0,190.0,,nan,Aug 27th 2011
Mauricio Rua,175.0,195.0,195.0,0.068,UFC 128: Shogun vs. Jones,
Jon Jones,-225.0,-215.0,-215.0,,nan,Mar 19th 2011
Mauricio Rua,155.0,175.0,175.0,0.073,UFC 113: Machida vs. Shogun II,
Lyoto Machida,-185.0,-190.0,-190.0,,nan,May 8th 2010
Mauricio Rua,325.0,405.0,405.0,0.158,UFC 104: Machida vs Rua,
Mauricio Rua,180.0,155.0,155.0,-0.098,UFC 97: Redemption,
Chuck Liddell,-240.0,-175.0,-175.0,,nan,Apr 18th 2009
Mauricio Rua,-380.0,-390.0,-390.0,-0.005,UFC 93: Franklin vs Henderson,
Mark Coleman,290.0,320.0,320.0,,nan,Jan 17th 2009
Mauricio Rua,-350.0,-320.0,-320.0,0.02,UFC 76: Knockout,
Valter Walker,-115.0,-145.0,-106.0,-0.02,UFC,
Junior Tafa,-105.0,-117.0,114.0,,nan,Aug 18th 2024
Lukasz Brzeski,275.0,180.0,210.0,,nan,Apr 6th 2024
Ryan Jensen,-155.0,-125.0,-125.0,0.086,UFC 129: St-Pierre vs. Shields,
Jason Macdonald,125.0,115.0,115.0,,nan,Apr 30th 2011
Ryan Jensen,200.0,210.0,210.0,0.032,UFC 121: Lesnar vs. Velasquez,
Court McGee,-260.0,-250.0,-250.0,,nan,Oct 23rd 2010
Ryan Jensen,-145.0,130.0,130.0,0.265,UFC 114: Jackson vs. Evans,
Jesse Forbes,115.0,-150.0,-150.0,,nan,May 29th 2010
Ryan Jensen,285.0,285.0,285.0,,UFC 108: Evans vs Silva,
Mark Munoz,-375.0,-375.0,-375.0,,nan,Jan 2nd 2010
Ryan Jensen,-175.0,-150.0,-150.0,0.057,UFC Fight Night 19,
Steve Steinbeiss,145.0,130.0,130.0,,nan,Sep 16th 2009
Ryan Jensen,300.0,325.0,325.0,0.059,UFC Fight Night 15: Diaz vs Neer,
Wilson Gouveia,-390.0,-400.0,-400.0,,nan,Sep 17th 2008
Ryan Jensen,175.0,160.0,160.0,-0.0579999999999999,UFC 77: Hostile Territory,
Demian Maia,-210.0,-185.0,-185.0,,nan,Oct 20th 2007
Ryan Jensen,180.0,245.0,245.0,0.188,UFC 74: Respect,
Thales Leites,-240.0,-290.0,-290.0,,nan,Aug 25th 2007
Ryan Jensen,,,,,Strikeforce: Shamrock vs Le,
Joey Villasenor,,,,,nan,Mar 29th 2008
Edmen Shahbazyan,-148.0,-350.0,-315.0,-0.289,UFC,
Gerald Meerschaert,124.0,245.0,275.0,,nan,Aug 25th 2024
Aj Dobson,114.0,155.0,165.0,,nan,Mar 24th 2024
Edmen Shahbazyan,215.0,160.0,184.0,-0.171,UFC Fight Night 226,
Anthony Hernandez,-255.0,-220.0,-192.0,,nan,May 20th 2023
Edmen Shahbazyan,-450.0,-351.0,-290.0,0.065,UFC 282,
Dalcha Lungiambula,350.0,245.0,280.0,,nan,Dec 10th 2022
Edmen Shahbazyan,-150.0,-106.0,108.0,0.163,UFC 268: Usman vs. Covington 2,
Nassourdine Imavov,130.0,-126.0,-118.0,,nan,Nov 6th 2021
Edmen Shahbazyan,-105.0,112.0,125.0,0.109,UFC Fight Night 188: Font vs. Garbrandt,
Jack Hermansson,-115.0,-154.0,-132.0,,nan,May 22nd 2021
Edmen Shahbazyan,-270.0,-400.0,-350.0,-0.079,UFC on ESPN+ 31: Brunson vs. Shahbazyan,
Derek Brunson,230.0,285.0,300.0,,nan,Aug 1st 2020
Edmen Shahbazyan,-245.0,-185.0,-164.0,0.102,UFC 244: Masvidal vs. Diaz,
Brad Tavares,175.0,137.0,160.0,,nan,Nov 2nd 2019
Edmen Shahbazyan,-380.0,-800.0,-570.0,-0.098,UFC 239: Jones vs. Santos,
Jack Marshman,260.0,450.0,575.0,,nan,Jul 6th 2019
Edmen Shahbazyan,-145.0,-161.0,-145.0,-0.019,UFC 235: Jones vs. Smith,
Charles Byrd,105.0,125.0,130.0,,nan,Mar 2nd 2019
Edmen Shahbazyan,-130.0,-120.0,-111.0,0.046,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,
Darren Stewart,-110.0,-111.0,100.0,,nan,Nov 30th 2018
Edmen Shahbazyan,-165.0,-245.0,-230.0,-0.131,Dana White's Contender Series 13,
Antonio Jones,125.0,195.0,215.0,,nan,Jul 17th 2018
Anderson Silva,155.0,200.0,235.0,0.211,UFC on ESPN+ 39: Hall vs. Silva,
Uriah Hall,-180.0,-275.0,-250.0,,nan,Oct 31st 2020
Anderson Silva,110.0,100.0,115.0,-0.0139999999999999,UFC 237: Namajunas vs. Andrade,
Jared Cannonier,-150.0,-135.0,-125.0,,nan,May 11th 2019
Anderson Silva,280.0,400.0,415.0,0.252,UFC 234: Adesanya vs. Silva,
Israel Adesanya,-400.0,-556.0,-515.0,,nan,Feb 9th 2019
Anderson Silva,-110.0,100.0,105.0,0.06,UFC 208: Holm vs. de Randamie,
Anderson Silva,400.0,345.0,345.0,-0.124,UFC 200: Tate vs. Nunes,
Daniel Cormier,-600.0,-430.0,-415.0,,nan,Jul 9th 2016
Anderson Silva,-290.0,-275.0,-250.0,0.026,UFC Fight Night 84: Silva vs. Bisping,
Michael Bisping,230.0,210.0,235.0,,nan,Feb 27th 2016
Anderson Silva,-405.0,-370.0,-355.0,0.022,UFC 183: Silva vs. Diaz,
Nick Diaz,285.0,305.0,320.0,,nan,Jan 31st 2015
Anderson Silva,-140.0,-175.0,-175.0,-0.091,UFC 168: Weidman vs. Silva II,
Chris Weidman,100.0,145.0,165.0,,nan,Dec 28th 2013
Anderson Silva,-215.0,-260.0,-230.0,-0.04,UFC 162: Silva vs. Weidman,
Anderson Silva,-1300.0,-1000.0,-900.0,0.026,UFC 153: Silva vs. Bonnar,
Stephan Bonnar,700.0,650.0,800.0,,nan,Oct 13th 2012
Anderson Silva,-325.0,-285.0,-280.0,0.034,UFC 148: Silva vs. Sonnen 2,
Anderson Silva,-435.0,-600.0,-600.0,-0.054,UFC 134: Silva vs. Okami,
Yushin Okami,325.0,500.0,500.0,,nan,Aug 27th 2011
Anderson Silva,-310.0,-210.0,-210.0,0.104,UFC 126: Silva vs. Belfort,
Vitor Belfort,255.0,190.0,190.0,,nan,Feb 5th 2011
Anderson Silva,-375.0,-460.0,-460.0,-0.04,UFC 117: Silva vs. Sonnen,
Anderson Silva,-560.0,-675.0,-675.0,-0.026,UFC 112: Invincible,
Anderson Silva,-260.0,-335.0,-335.0,-0.066,UFC 101: Declaration,
Anderson Silva,-450.0,-575.0,-575.0,-0.0409999999999999,UFC 97: Redemption,
Anderson Silva,-800.0,-630.0,-630.0,0.0289999999999999,UFC 90: Silva vs Cote,
Patrick Cote,500.0,480.0,480.0,,nan,Oct 25th 2008
Anderson Silva,-675.0,-560.0,-560.0,0.026,UFC Fight Night 14: Silva vs Irvin,
James Irvin,450.0,475.0,475.0,,nan,Jul 19th 2008
Anderson Silva,-140.0,-150.0,-150.0,-0.0289999999999999,UFC 82: Pride Of A Champion,
Anderson Silva,-300.0,-230.0,-230.0,0.071,UFC 77: Hostile Territory,
Rich Franklin,220.0,190.0,190.0,,nan,Oct 20th 2007
Anderson Silva,-170.0,-145.0,-145.0,0.06,UFC 73: Stacked,
Nate Marquardt,150.0,125.0,125.0,,nan,Jul 7th 2007
Carlos Prates,-265.0,-420.0,-350.0,-0.095,UFC,
Li Jingliang,200.0,260.0,320.0,,nan,Aug 18th 2024
Carlos Prates,-188.0,-250.0,-210.0,-0.065,UFC Fight Night,
Charles Radtke,140.0,175.0,205.0,,nan,Jun 8th 2024
Trevin Giles,-130.0,200.0,230.0,,nan,Feb 11th 2024
Carlos Prates,-200.0,-333.0,-250.0,-0.121,Contender Series,
Mitch Ramirez,150.0,200.0,230.0,,nan,Aug 30th 2023
Carlos Prates,-280.0,-285.0,-270.0,0.003,LFA 154,
Eduardo Ramon,220.0,210.0,230.0,,nan,Mar 10th 2023
Carlos Prates,-400.0,-600.0,-400.0,-0.042,LFA 146,
Moacir Rocha,300.0,300.0,425.0,,nan,Nov 4th 2022
Matt van Buren,100.0,185.0,215.0,0.3329999999999999,UFC Fight Night 59: McGregor vs. Siver,
Sean O'Connell,-140.0,-235.0,-220.0,,nan,Jan 18th 2015
Matt van Buren,120.0,245.0,245.0,0.362,UFC: The Ultimate Fighter 19 Finale,
Matt van Buren,-160.0,-125.0,-125.0,0.0969999999999999,Bellator Fighting Championship 73,
Mike Mucitelli,120.0,105.0,115.0,,nan,Aug 24th 2012
Matt van Buren,,,,,Bellator Fighting Championship 82,
Terry Davinney,,,,,nan,Nov 30th 2012
Matt van Buren,,,,,Bellator Fighting Championship 57,
Shawn Levesque,,,,,nan,Nov 12th 2011
Matt van Buren,,,,,Bellator Fighting Championship 52,
Nick Nichols,,,,,nan,Oct 1st 2011
Trevor Peek,-110.0,-125.0,105.0,0.018,UFC,
Yanal Ashmouz,-110.0,-125.0,100.0,,nan,Sep 7th 2024
Charlie Campbell,-192.0,-175.0,-150.0,,nan,Apr 6th 2024
Trevor Peek,120.0,-205.0,-180.0,-0.452,UFC 294,
Mohammad Yahya,-163.0,150.0,170.0,,nan,Oct 21st 2023
Trevor Peek,-275.0,-275.0,-275.0,,UFC Fight Night 228,
Victor Martinez,220.0,220.0,220.0,,nan,Jun 24th 2023
Jose Mariscal,140.0,-105.0,135.0,,nan,Jun 24th 2023
Trevor Peek,-200.0,-290.0,-190.0,-0.066,UFC Fight Night 220,
Erick Gonzalez,170.0,160.0,245.0,,nan,Feb 25th 2023
Trevor Peek,-115.0,150.0,205.0,0.289,DWCS Week 8,
Malik Lewis,-105.0,-240.0,-180.0,,nan,Sep 13th 2022
Alan Belcher,-275.0,-275.0,-275.0,,Gamebred,
Roy Nelson,200.0,200.0,200.0,,nan,Nov 11th 2023
Alan Belcher,150.0,155.0,165.0,0.038,UFC 159: Jones vs. Sonnen,
Alan Belcher,115.0,-120.0,-115.0,-0.1639999999999999,UFC 155: Dos Santos vs. Velasquez II,
Alan Belcher,265.0,190.0,200.0,-0.237,UFC on FOX 3: Diaz vs. Miller,
Rousimar Palhares,-385.0,-240.0,-210.0,,nan,May 5th 2012
Alan Belcher,220.0,-290.0,-290.0,-1.379,UFC Fight Night 25: Battle on the Bayou,
Alan Belcher,110.0,-117.0,-117.0,-0.132,UFC 113: Machida vs. Shogun II,
Alan Belcher,100.0,-125.0,-125.0,-0.111,UFC 107: Penn vs Sanchez,
Alan Belcher,250.0,173.0,173.0,-0.282,UFC 100,
Yoshihiro Akiyama,-325.0,-205.0,-205.0,,nan,Jul 11th 2009
Alan Belcher,260.0,220.0,220.0,-0.125,UFC 93: Franklin vs Henderson,
Denis Kang,-350.0,-260.0,-260.0,,nan,Jan 17th 2009
Alan Belcher,190.0,240.0,240.0,0.147,UFC Fight Night 15: Diaz vs Neer,
Ed Herman,-250.0,-280.0,-280.0,,nan,Sep 17th 2008
Alan Belcher,-410.0,-370.0,-370.0,0.021,UFC 83: Serra vs St-Pierre 2,
Jason Day,315.0,310.0,310.0,,nan,Apr 19th 2008
Alan Belcher,100.0,110.0,110.0,0.048,UFC 77: Hostile Territory,
Kalib Starnes,-140.0,-130.0,-130.0,,nan,Oct 20th 2007
Andy Green,,,,,Cage Warriors 56: del Guerra vs. Omoyele,
Arnold Allen,,,,,nan,Jul 6th 2013
Aaron Simpson,-260.0,-275.0,-250.0,-0.003,World Series of Fighting 2: Arlovski vs. Johnson,
Josh Burkman,180.0,230.0,230.0,,nan,Mar 23rd 2013
Aaron Simpson,170.0,135.0,155.0,-0.102,UFC on FX 5: Browne vs. Bigfoot,
Mike Pierce,-230.0,-175.0,-145.0,,nan,Oct 5th 2012
Aaron Simpson,-280.0,-350.0,-330.0,-0.049,UFC on FUEL TV 4: Munoz vs. Weidman,
Kenny Robertson,220.0,290.0,300.0,,nan,Jul 11th 2012
Aaron Simpson,-185.0,130.0,130.0,0.33,UFC on FUEL TV 1: Ellenberger vs. Sanchez,
Ronny Markes,155.0,-140.0,-140.0,,nan,Feb 15th 2012
Aaron Simpson,-325.0,-400.0,-400.0,-0.046,UFC 136: Edgar vs. Maynard 3,
Eric Schafer,265.0,355.0,355.0,,nan,Oct 8th 2011
Aaron Simpson,-225.0,-245.0,-245.0,-0.026,UFC 132: Cruz vs. Faber,
Aaron Simpson,-195.0,-210.0,-210.0,-0.025,UFC Fight Night 24: Nogueira vs. Davis,
Mario Miranda,160.0,175.0,175.0,,nan,Mar 26th 2011
Aaron Simpson,155.0,115.0,115.0,-0.186,UFC 123: Rampage vs. Machida,
Aaron Simpson,-335.0,-310.0,-310.0,0.018,UFC: The Ultimate Fighter 11 Finale,
Chris Leben,255.0,280.0,280.0,,nan,Jun 19th 2010
Aaron Simpson,-250.0,-380.0,-380.0,-0.108,UFC Fight Night 20: Maynard vs Diaz,
Tom Lawlor,190.0,315.0,315.0,,nan,Jan 11th 2010
Aaron Simpson,130.0,-115.0,-115.0,-0.23,UFC 102: Couture vs Nogueira,
Aaron Simpson,-175.0,-200.0,-200.0,-0.048,UFC Fight Night 18: Condit vs Kampmann,
Tim McKenzie,145.0,170.0,170.0,,nan,Apr 1st 2009
Aaron Simpson,-160.0,-160.0,-160.0,,WEC 36: Faber vs Brown,
David Avellan,130.0,130.0,130.0,,nan,Nov 5th 2008
Azamat Gashimov,150.0,-130.0,-115.0,-0.379,UFC on FX 8: Belfort vs. Rockhold,
John Lineker,-190.0,105.0,110.0,,nan,May 18th 2013
Azamat Gashimov,240.0,195.0,205.0,-0.133,UFC 154: St-Pierre vs. Condit,
Ivan Menjivar,-320.0,-245.0,-215.0,,nan,Nov 17th 2012
Aaron Hughes,-115.0,-115.0,-115.0,,Cage Titans 65,
Kenny Champion,-115.0,-115.0,-115.0,,nan,May 26th 2024
Aaron Hughes,135.0,135.0,135.0,,Cage Titans 63,
Jake Hixenbaugh,-175.0,-175.0,-175.0,,nan,Jan 28th 2024
Diego Rivas,-160.0,-175.0,-175.0,-0.034,UFC Fight Night 129: Maia vs. Usman,
Guido Cannetti,120.0,150.0,155.0,,nan,May 19th 2018
Diego Rivas,135.0,205.0,210.0,0.237,UFC Fight Night 114: Pettis vs. Moreno,
Jose Quinonez,-175.0,-250.0,-245.0,,nan,Aug 5th 2017
Diego Rivas,250.0,285.0,290.0,0.098,UFC Fight Night 82: Hendricks vs. Thompson,
Noad Lahat,-350.0,-350.0,-350.0,,nan,Feb 6th 2016
Diego Rivas,-210.0,-150.0,-145.0,0.119,UFC Fight Night 56: Shogun vs. St. Preux,
Rodolfo Rubio,160.0,125.0,140.0,,nan,Nov 8th 2014
Mark Hominick,-300.0,-285.0,-280.0,0.015,UFC 154: St-Pierre vs. Condit,
Pablo Garza,220.0,240.0,255.0,,nan,Nov 17th 2012
Mark Hominick,-350.0,-480.0,-480.0,-0.064,UFC 145: Jones vs. Evans,
Eddie Yagin,250.0,423.0,423.0,,nan,Apr 21st 2012
Mark Hominick,-280.0,-560.0,-560.0,-0.152,UFC 140: Jones vs. Machida,
Chan Sung Jung,200.0,475.0,475.0,,nan,Dec 10th 2011
Mark Hominick,330.0,435.0,435.0,0.196,UFC 129: St-Pierre vs. Shields,
Jose Aldo,-450.0,-500.0,-500.0,,nan,Apr 30th 2011
Mark Hominick,-255.0,-250.0,-250.0,0.006,UFC Fight Night 23: Fight For The Troops II,
George Roop,195.0,230.0,230.0,,nan,Jan 22nd 2011
Mark Hominick,-190.0,-195.0,-195.0,-0.009,WEC 51: Aldo vs. Gamburyan,
Leonard Garcia,165.0,180.0,180.0,,nan,Sep 30th 2010
Mark Hominick,-165.0,-180.0,-180.0,-0.032,WEC 49: Varner vs. Shalorus,
Yves Jabouin,135.0,158.0,158.0,,nan,Jun 20th 2010
Mark Hominick,-195.0,-170.0,-170.0,0.047,WEC 46: Varner vs Henderson,
Bryan Caraway,160.0,140.0,140.0,,nan,Jan 10th 2010
Mark Hominick,-160.0,-110.0,-110.0,0.149,Affliction 1: Banned,
Savant Young,130.0,-110.0,-110.0,,nan,Jul 19th 2008
Mark Hominick,-280.0,-245.0,-245.0,0.036,WEC 32,
Josh Grispi,220.0,185.0,185.0,,nan,Feb 13th 2008
Igor Araujo,185.0,350.0,375.0,0.384,UFC Fight Night 71: Mir vs. Duffee,
Sean Strickland,-265.0,-470.0,-450.0,,nan,Jul 15th 2015
Igor Araujo,-165.0,-135.0,-130.0,0.083,UFC Fight Night 51: Big Foot vs. Arlovski II,
George Sullivan,125.0,115.0,120.0,,nan,Sep 13th 2014
Igor Araujo,-190.0,-265.0,-260.0,-0.106,UFC Fight Night 37: Gustafsson vs. Manuwa,
Danny Mitchell,150.0,220.0,225.0,,nan,Mar 8th 2014
Igor Araujo,235.0,285.0,315.0,0.163,UFC Fight Night 29: Maia vs. Shields,
Ildemar Alcantara,-315.0,-360.0,-345.0,,nan,Oct 9th 2013
Steve Erceg,-205.0,-300.0,-250.0,-0.093,UFC,
Kai Kara-France,172.0,195.0,240.0,,nan,Aug 18th 2024
Alexandre Pantoja,-250.0,-200.0,-180.0,,nan,May 5th 2024
Colton Smith,-270.0,-325.0,-325.0,-0.048,WSOF 24: Fitch vs. Okami,
Washington Nunes da Silva,190.0,250.0,250.0,,nan,Oct 17th 2015
Colton Smith,250.0,165.0,170.0,-0.306,UFC Fight Night 44: Swanson vs. Stephens,
Carlos Diego Ferreira,-350.0,-190.0,-185.0,,nan,Jun 28th 2014
Colton Smith,180.0,110.0,110.0,-0.3329999999999999,UFC Fight Night 31: Fight For The Troops III,
Michael Chiesa,-260.0,-140.0,-120.0,,nan,Nov 6th 2013
Colton Smith,-130.0,-160.0,-140.0,-0.062,UFC 160: Velasquez vs. Silva II,
Robert Whittaker,-110.0,130.0,130.0,,nan,May 25th 2013
Colton Smith,185.0,255.0,270.0,0.215,UFC: The Ultimate Fighter 16 Finale,
